feature,importance
num__age,0.6161656152156917
cat__prevalentStroke_1.0,0.5915635191246343
cat__prevalentStroke_0.0,0.4253866837033474
cat__BPMeds_1.0,0.34951253667225013
cat__male_1.0,0.2813370821618734
num__sysBP,0.25803444198237774
num__cigsPerDay,0.25567151371661545
cat__diabetes_1.0,0.24801992442888982
cat__BPMeds_0.0,0.18333570125096357
cat__prevalentHyp_1.0,0.15711695492563263
num__glucose,0.12261403487821369
cat__currentSmoker_1.0,0.11648108688635822
cat__male_0.0,0.115160246740587
num__totChol,0.10842187285409842
cat__diabetes_0.0,0.08184308900760293
cat__currentSmoker_0.0,0.04969574853492801
num__diaBP,0.04254948391409044
num__heartRate,0.039681311977354895
num__BMI,0.03474877841713785
cat__prevalentHyp_0.0,0.009059880495654109
