,count,mean,std,min,25%,50%,75%,max
male,4240.0,0.42924528301886794,0.4950268328135282,0.0,0.0,0.0,1.0,1.0
age,4240.0,49.58018867924528,8.57294217547334,32.0,42.0,49.0,56.0,70.0
education,4135.0,1.9794437726723095,1.0197911793650105,1.0,1.0,2.0,3.0,4.0
currentSmoker,4240.0,0.49410377358490565,0.5000242019006145,0.0,0.0,0.0,1.0,1.0
cigsPerDay,4211.0,9.005936832106388,11.922461800609083,0.0,0.0,0.0,20.0,70.0
BPMeds,4187.0,0.029615476474802963,0.16954428739626196,0.0,0.0,0.0,0.0,1.0
prevalentStroke,4240.0,0.00589622641509434,0.0765692084019818,0.0,0.0,0.0,0.0,1.0
prevalentHyp,4240.0,0.3106132075471698,0.4627992628992856,0.0,0.0,0.0,1.0,1.0
diabetes,4240.0,0.025707547169811322,0.15828006133169917,0.0,0.0,0.0,0.0,1.0
totChol,4190.0,236.69952267303103,44.59128386860701,107.0,206.0,234.0,263.0,696.0
sysBP,4240.0,132.35459905660377,22.033299608849184,83.5,117.0,128.0,144.0,295.0
diaBP,4240.0,82.89775943396226,11.91039448330595,48.0,75.0,82.0,90.0,142.5
BMI,4221.0,25.80080075811419,4.079840168944382,15.54,23.07,25.4,28.04,56.8
heartRate,4239.0,75.87898089171975,12.025347984469386,44.0,68.0,75.0,83.0,143.0
glucose,3852.0,81.96365524402907,23.954334811344744,40.0,71.0,78.0,87.0,394.0
TenYearCHD,4240.0,0.15188679245283018,0.35895345563483705,0.0,0.0,0.0,0.0,1.0
